2020-05-12 21:40:15.901 -05:00 [INF] action:GET endpoint:/weatherforecast
2020-05-13 10:43:18.001 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/weatherforecast
2020-05-13 10:43:18.980 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/favicon.ico
2020-05-13 10:43:20.743 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 10:46:26.914 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/weatherforecast
2020-05-13 10:46:31.639 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 10:47:45.945 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 10:58:23.723 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 10:58:46.108 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:03:09.597 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:03:39.150 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:05:04.139 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:05:37.732 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:08:49.587 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:08:56.904 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:09:25.791 -05:00 [INF] >>>>>>USER: ACTION:POST PATH:/api/v1.0/role
2020-05-13 11:09:26.431 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:09:54.681 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:09:58.083 -05:00 [INF] >>>>>>USER: ACTION:POST PATH:/api/v1.0/role
2020-05-13 11:10:16.017 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:12:17.701 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:12:51.654 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:13:09.267 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 11:13:14.590 -05:00 [INF] >>>>>>USER: ACTION:POST PATH:/api/v1.0/role
2020-05-13 11:13:39.239 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:39:30.204 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/weatherforecast
2020-05-13 13:39:31.016 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/favicon.ico
2020-05-13 13:39:52.529 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:41:05.919 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:45:10.894 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:45:35.725 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:46:02.649 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:46:14.955 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:54:36.811 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:55:26.749 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 13:57:25.721 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/role
2020-05-13 14:14:25.786 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/weatherforecast
2020-05-13 14:14:35.933 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/show
2020-05-13 14:23:14.446 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/show
2020-05-13 14:23:30.765 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/show
2020-05-13 14:24:03.357 -05:00 [INF] >>>>>>USER: ACTION:GET PATH:/api/v1.0/show
